state,state_name,evalid,point_mmt_c,ci_lower_mmt_c,ci_upper_mmt_c,ci_half_width_mmt_c,n_pairs,n_iter,seed,perturb_litter,perturb_soc,forest_carbon_version
AL,Alabama,12301,15.5856646107353,13.836688837173,17.3223063434708,1.74280875314891,5223,10000,42,1,1,0.16.0a3
AR,Arkansas,52301,11.6768574022846,9.97197178741837,13.3761664576297,1.70209733510568,4340,10000,42,1,1,0.16.0a3
AZ,Arizona,42301,-0.631990369467338,-1.225184944935,-0.0392550961355794,0.592964924399712,3082,10000,42,1,1,0.16.0a3
CA,California,62101,6.60600624020459,5.2252188401757,7.97533976744174,1.37506046363302,4385,10000,42,1,1,0.16.0a3
CO,Colorado,82301,-2.11659440854758,-2.79498164834966,-1.44237738511614,0.676302131616762,3869,10000,42,1,1,0.16.0a3
CT,Connecticut,92301,0.842265714824127,0.510396890525737,1.16854440109322,0.329073755283741,309,10000,42,1,1,0.16.0a3
DE,Delaware,102301,0.127782960272072,-0.020428237317676,0.266688345019846,0.143558291168761,124,10000,42,1,1,0.16.0a3
FL,Florida,122301,3.33620668022739,1.98660349365621,4.66274017583907,1.33806834109143,3786,10000,42,1,1,0.16.0a3
GA,Georgia,132301,9.83690079119214,7.49863478737928,12.0675091635587,2.28443718808969,6079,10000,42,1,1,0.16.0a3
IA,Iowa,192301,0.93797035790447,0.477786475720729,1.37339635874127,0.447804941510268,567,10000,42,1,1,0.16.0a3
ID,Idaho,162301,-0.519889995837621,-1.57594180686341,0.542073668492185,1.0590077376778,3799,10000,42,1,1,0.16.0a3
IL,Illinois,172301,2.01466651177586,1.43701978745647,2.58568225442407,0.574331233483798,1025,10000,42,1,1,0.16.0a3
IN,Indiana,182301,3.42585539884889,2.75382523608507,4.10097178602688,0.673573274970906,988,10000,42,1,1,0.16.0a3
KS,Kansas,202301,0.734949347939436,0.394814014168087,1.07559131516445,0.340388650498181,512,10000,42,1,1,0.16.0a3
