"State","2023 Flux Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Alabama",-15.15,-16.98,-13.32,-12.07,12.07
"Alaska",-5.03,-12.14,2.07,-141.07,141.07
"Arizona",0.61,0.21,1.01,-65.24,65.24
"Arkansas",-11.28,-12.85,-9.72,-13.89,13.89
"California",-6.13,-14.13,1.86,-130.33,130.33
"Colorado",2.69,-5.83,11.22,-316.65,316.65
"Connecticut",-0.85,-1.13,-0.57,-33.05,33.05
"Delaware",-0.02,-0.05,0.01,-156.63,156.63
"Florida",-4.22,-4.89,-3.56,-15.8,15.8
"Georgia",-9.67,-10.16,-9.18,-5.08,5.08
"Hawaii",-0.9,-5.26,3.46,-484.99,484.99
"Idaho",-0.17,-3.68,3.35,-2090.13,2090.13
"Illinois",-2.18,-3.17,-1.19,-45.56,45.56
"Indiana",-3.24,-4.83,-1.64,-49.2,49.2
"Iowa",-1.15,-1.47,-0.84,-27.37,27.37
"Kansas",-0.8,-1.22,-0.38,-52.4,52.4
"Kentucky",-6.6,-8.17,-5.04,-23.71,23.71
"Louisiana",-7.96,-8.43,-7.48,-5.93,5.93
"Maine",-4.99,-8.01,-1.98,-60.36,60.36
"Maryland",-1.41,-1.94,-0.88,-37.53,37.53
"Massachusetts",-1.47,-1.84,-1.1,-25.43,25.43
"Michigan",-5.95,-9.55,-2.36,-60.35,60.35
"Minnesota",-5.91,-8.23,-3.6,-39.1,39.1
"Mississippi",-15.9,-18.77,-13.04,-18.01,18.01
"Missouri",-4.96,-7.54,-2.39,-51.91,51.91
"Montana",1.76,-6.23,9.76,-453.8,453.8
"Nebraska",-0.33,-0.39,-0.28,-16.09,16.09
"Nevada",-0.06,-0.33,0.21,-459,459
"New Hampshire",-1.78,-2.37,-1.18,-33.79,33.79
"New Jersey",-0.89,-0.98,-0.8,-10.04,10.04
"New Mexico",0.42,-1.5,2.35,-452.89,452.89
"New York",-10.02,-12.32,-7.72,-22.95,22.95
"North Carolina",-9.4,-10.66,-8.14,-13.39,13.39
"North Dakota",-0.11,-0.21,-0.01,-91.39,91.39
"Ohio",-3.94,-6.01,-1.86,-52.7,52.7
"Oklahoma",-3.68,-4.31,-3.06,-17.03,17.03
"Oregon",-11.46,-13.56,-9.36,-18.33,18.33
"Pennsylvania",-6.32,-10.77,-1.86,-70.59,70.59
"Rhode Island",-0.1,-0.25,0.04,-138.24,138.24
"South Carolina",-5.3,-5.84,-4.76,-10.19,10.19
"South Dakota",0.41,0.08,0.74,-81.5,81.5
"Tennessee",-9.28,-10.79,-7.78,-16.2,16.2
"Texas",-12.74,-13.26,-12.22,-4.06,4.06
"Utah",0.5,-0.89,1.88,-279.32,279.32
"Vermont",-1.87,-2.59,-1.16,-38.04,38.04
"Virginia",-9.19,-11.93,-6.45,-29.81,29.81
"Washington",-4.92,-9.55,-0.3,-93.93,93.93
"West Virginia",-7.75,-9.48,-6.02,-22.33,22.33
"Wisconsin",-6.78,-7.24,-6.32,-6.8,6.8
"Wyoming",0.06,-0.58,0.7,-1063.37,1063.37
"U.S. Territories",0.08,-0.03,0.2,-138.79,138.79
